ticker,sector,decision,composite_score,roe,roic,ev_ebitda,pb_ratio,mktcap_to_assets,leverage_flag,momentum_score,mom_12_1,resid_mom_63,factor_composite,liquidity_score,sp500_member,sp500_sector,suggested_w_max,sizing_action,buy_score,action,regime,reasons
PM,Consumer Staples,WATCH,0.3928,0.7,0.2,,,4.604,,0.2527702741230885,0.0988063594598234,0.0818505460483031,0.5558241593845261,0.676056338028169,True,Consumer Staples,0.03,reduce_or_avoid,0.32,WATCH,Stress,"positive_momentum,positive_residual_mom,high_factor_composite,sp500_member,stress_regime_haircut"
ALL,Financials,WATCH,0.4946,0.12,0.09,,2.31,0.651,,0.5751894170598023,0.1988410744596176,0.1084413984199705,0.1367412668737582,0.4225352112676056,True,Financials,0.05,reduce_or_avoid,0.32,WATCH,Stress,"strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
CSCO,Information Technology,WATCH,0.4815,0.25,0.18,,9.16,4.476,,0.5840084603429101,0.6007102272573335,0.1117075883583481,0.2596272284299316,0.8732394366197183,True,Information Technology,0.05,reduce_or_avoid,0.32,WATCH,Stress,"strong_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
MSFT,Information Technology,SATELLITE,0.5294,0.35,0.25,,8.09,6.702,,0.352777136745047,-0.2498943919951066,0.1358363999387926,0.3618228008162704,0.9647887323943662,True,Information Technology,0.05,hold,0.3,WATCH,Stress,"satellite,positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
BAC,Financials,INCLUDE_VALUE,0.5825,0.1,0.08,9.0,1.2,0.103,levered-assets,0.4075964148529141,0.2432260257307943,0.1256180712682057,0.1901214841646583,0.8450704225352113,True,Financials,0.05,hold,0.3,WATCH,Stress,"value_trifecta,positive_momentum,positive_residual_mom,levered_assets_flag,sp500_member,stress_regime_haircut"
MOS,Materials,SATELLITE,0.5221,0.08,0.06,,0.61,0.329,cheap-assets,-0.2296534638204702,-0.343992556306757,0.0970255526851817,0.2127044049381975,0.176056338028169,True,Materials,0.05,hold,0.23,WATCH,Stress,"satellite,positive_residual_mom,cheap_assets_flag,sp500_member,stress_regime_haircut"
CF,Materials,WATCH,0.4198,0.25,0.15,,3.62,1.431,,0.4135736133984112,0.2791020974037634,0.0712794561572782,0.2034888993858241,0.2605633802816901,True,Materials,0.03,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
KO,Consumer Staples,WATCH,0.3997,0.38,0.15,,10.53,3.885,,0.3128482935149979,0.1941527176118067,0.0627019362521319,0.179299051325659,0.7887323943661971,True,Consumer Staples,0.03,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
LLY,Health Care,WATCH,0.4716,0.55,0.3,35.0,45.0,10.571,,0.3554928595079867,0.8378931583034761,0.1154383019922977,0.3320907056797707,0.8943661971830986,True,Health Care,0.05,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
UNH,Health Care,WATCH,0.4576,0.25,0.18,,3.65,1.276,,0.4919723013384701,0.564916629896471,0.051967437378399,0.2855021024572421,0.8802816901408451,True,Health Care,0.05,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
BAYRY,Health Care,WATCH,0.4162,0.05,0.04,,1.68,0.458,mixed-assets,0.8369162052975433,0.9424551466673624,0.3001279539262459,0.1661738694968663,0.0211267605633802,True,Health Care,0.03,reduce_or_avoid,0.22,WATCH,Stress,"strong_momentum,positive_residual_mom,low_liquidity,sp500_member,stress_regime_haircut"
MMM,Industrials,WATCH,0.3659,0.25,0.12,,30.76,2.27,,0.4998483024230475,0.001498161658777,0.1442357714129168,0.0933752380053115,0.5422535211267606,True,Industrials,0.03,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
FITB,Financials,WATCH,0.3546,,,,1.59,0.285,low-MCA,0.2535112983971407,0.3299209040530848,0.1561713096906663,0.1868341116231728,0.352112676056338,True,Financials,0.03,reduce_or_avoid,0.22,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
XLV,Health Care,WATCH,0.455,0.16,0.12,15.0,4.0,2.2,,0.3443818079887669,0.2284493490945294,0.2070141426081206,-0.0313436186194239,0.8028169014084507,,,0.05,reduce_or_avoid,0.17,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
JNJ,Health Care,WATCH,0.4382,0.22,0.15,,7.25,3.332,,0.2454067237182024,0.5080840001508207,0.0732714392388634,0.0681771674950787,0.852112676056338,True,Health Care,0.03,reduce_or_avoid,0.17,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
SMCI,Information Technology,INCLUDE_QUALITY,0.5655,0.3,0.22,,2.2,1.708,,-0.4923246304727542,-0.4091599849432482,-0.0242461444349716,0.074931627607274,0.7394366197183099,True,Information Technology,0.05,hold,0.17,WATCH,Stress,"buffett_quality,sp500_member,stress_regime_haircut"
KMB,Consumer Staples,WATCH,0.3701,0.55,0.16,,20.36,2.152,,0.0892480823141102,-0.1490245286085605,0.0957480908786821,0.2009728814365459,0.3943661971830985,True,Consumer Staples,0.03,reduce_or_avoid,0.17,WATCH,Stress,"positive_momentum,positive_residual_mom,sp500_member,stress_regime_haircut"
