roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
1.2,0.18,4.0,0.8,5.0,0.24,0.96,0.8,leverage_driven,levered-assets,ROE = PM × AT × EM,MCD,18.0,15.0,3.818
1.1260635280771412,0.185789153525806,5.060975609756097,0.835,6.061,0.1858,0.9403,0.835,leverage_driven,levered-assets,ROE = PM × AT × EM,HAS,10.582640989821181,16.518522423439784,1.929514015273593
1.0099466628225457,0.1819007931871584,4.55218394118495,0.82,5.552,0.1819,0.828,0.82,leverage_driven,levered-assets,ROE = PM × AT × EM,HD,25.943755742951897,42.411194509742955,5.453114922784826
0.9712778429073857,0.14391175959701233,5.749120750293083,0.852,6.749,0.1439,0.8274,0.852,leverage_driven,levered-assets,ROE = PM × AT × EM,TPR,28.052009953871615,41.660819326671636,4.396267510247997
0.970579126664602,0.25321160216530664,2.8330752554970577,0.739,3.833,0.2532,0.7174,0.739,leverage_driven,levered-assets,ROE = PM × AT × EM,ITW,17.47374894876738,23.051927848052742,4.576652423841755
0.9659838925881661,0.13869212398709424,5.964951323970308,0.856,6.965,0.1387,0.8273,0.856,leverage_driven,levered-assets,ROE = PM × AT × EM,SPG,11.142547957150708,13.027647287148222,1.5968627640474922
0.9444855662472242,0.31243878550440746,2.0229459659511475,0.669,3.023,0.3124,0.632,0.669,leverage_driven,levered-assets,ROE = PM × AT × EM,NTAP,11.412390512525747,16.040746286464017,2.0170372517696284
0.9239669421487603,0.2650042666160994,2.4866115702479337,0.713,3.487,0.265,0.659,0.713,leverage_driven,levered-assets,ROE = PM × AT × EM,MCO,19.39227303160621,25.929630941721737,5.3449494786172576
0.9,0.25,1.5,0.6,2.5,0.36,0.54,0.6,leverage_driven,levered-assets,ROE = PM × AT × EM,MO,,-36.05,3.305
0.9,0.55,0.2,0.167,1.2,0.75,0.15,0.167,high_ops,cheap-assets,ROE = PM × AT × EM,NVDA,,24.46,
0.8487486398258978,0.11727030806007849,6.237540805223069,0.862,7.238,0.1173,0.7315,0.862,leverage_driven,levered-assets,ROE = PM × AT × EM,AMGN,14.021000443794888,20.508500478666853,2.0374591304046135
0.8233407142451599,0.05961096563886069,12.811900300914097,0.928,13.812,0.0596,0.7637,0.928,leverage_driven,levered-assets,ROE = PM × AT × EM,AMT,17.754322613704332,22.388867012312158,1.2472131228405146
0.8215408805031447,0.17225747960108795,3.7692610062893084,0.79,4.769,0.1723,0.6493,0.79,leverage_driven,levered-assets,ROE = PM × AT × EM,MSI,22.399121724649376,28.231856367969538,3.7642475157292714
0.8175069594803588,0.21193168150108252,2.8574079802041448,0.741,3.857,0.2119,0.6056,0.741,leverage_driven,levered-assets,ROE = PM × AT × EM,ZTS,16.38774996960634,18.14497173760146,3.8711029185472827
0.8010573716296815,0.3899981253948048,1.0540031335246836,0.513,2.054,0.39,0.4111,0.513,leverage_driven,levered-assets,ROE = PM × AT × EM,KLAC,32.410859023485415,32.94610473030799,11.38423730322562
0.8,0.2,3.5,0.778,4.5,0.1778,0.6222,0.778,leverage_driven,levered-assets,ROE = PM × AT × EM,ABBV,,-67.09,3.308
0.796939031529648,0.6459901023659413,0.23367065317387303,0.189,1.234,0.646,0.1509,0.189,high_ops,cheap-assets,ROE = PM × AT × EM,GEV,100.69173613054548,26.169161752303182,3.8725825132709057
0.7557683935568132,0.0982011539766942,6.69612538093165,0.87,7.696,0.0982,0.6576,0.87,leverage_driven,levered-assets,ROE = PM × AT × EM,SYY,11.60779588038938,14.658191931276301,1.20322577515426
0.7501426010790001,0.16148129234352418,3.6453839339060923,0.785,4.645,0.1615,0.5887,0.785,leverage_driven,levered-assets,ROE = PM × AT × EM,COR,14.150932399262151,17.947712304380744,0.7468144462694893
0.703830659024499,0.4115013259171146,0.7103970624052521,0.415,1.71,0.4115,0.2923,0.415,mixed,mixed-assets,ROE = PM × AT × EM,IDXX,29.043318137905235,28.483698276940952,13.092189518951768
0.7,0.2,2.0,0.667,3.0,0.2333,0.4667,0.667,leverage_driven,levered-assets,ROE = PM × AT × EM,PM,,,4.603
0.6973824162710457,0.14876508707754799,3.687809686875762,0.787,4.688,0.1488,0.5486,0.787,leverage_driven,levered-assets,ROE = PM × AT × EM,SHW,20.594852433222194,21.684304441417957,3.101378345107631
0.6843199319695753,0.40819681370707145,0.676446040219839,0.404,1.676,0.4082,0.2761,0.404,mixed,mixed-assets,ROE = PM × AT × EM,ADP,12.132771698141536,12.632305631674969,1.2439699025761228
0.6797704447632712,0.09574597072969199,6.099728997289973,0.859,7.1,0.0957,0.584,0.859,leverage_driven,levered-assets,ROE = PM × AT × EM,TRGP,13.881240840240606,16.9932350219167,1.966233510760634
0.6700413223140496,0.5759701625077702,0.16332644628099174,0.14,1.163,0.576,0.0941,0.14,high_ops,cheap-assets,ROE = PM × AT × EM,WDC,12.36925759029087,9.749628473707467,6.272941417446878
0.6515495086923658,0.16529242569511027,2.941798941798942,0.746,3.942,0.1653,0.4863,0.746,leverage_driven,levered-assets,ROE = PM × AT × EM,JBL,20.115151066672663,28.87466433107494,1.6038112813305405
0.6422195690488374,0.3826817535063351,0.6782079708908977,0.404,1.678,0.3827,0.2595,0.404,mixed,mixed-assets,ROE = PM × AT × EM,V,20.50502228602232,16.620160837563617,6.181034125634983
0.6276263240145858,0.38901146208900605,0.6133877409272444,0.38,1.613,0.389,0.2386,0.38,mixed,mixed-assets,ROE = PM × AT × EM,ADBE,10.382190465244651,8.945647821096852,3.442220011472073
0.6270122343850612,0.32388158988857474,0.9359304571796523,0.483,1.936,0.3239,0.3031,0.483,mixed,mixed-assets,ROE = PM × AT × EM,AMP,,6.301031580603821,0.21221161616667536
0.6121646623496763,0.2390499412986544,1.5608233117483812,0.61,2.561,0.239,0.3731,0.61,leverage_driven,levered-assets,ROE = PM × AT × EM,LII,18.55379955958865,15.264831300596084,4.356774293318645
0.6030756323113761,0.1897149218365679,2.178851860851001,0.685,3.179,0.1897,0.4134,0.685,leverage_driven,levered-assets,ROE = PM × AT × EM,CMG,19.744821194899753,16.856164764167332,4.610074139013924
