date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
2022-01-13,20,0.4156681624248932,0.42174361788171705,0.10047639313535393,0.7316826953946027,0.2498846115564161
2022-01-14,20,0.4048679760935815,0.4055429593736385,0.08991547290405887,0.7227981391865732,0.2521249593650151
2022-01-18,20,0.38702472354127854,0.3991689504644606,0.07209742786957317,0.693685581792401,0.24629023353130208
2022-01-19,20,0.4446047701272839,0.47260887901063975,0.1244531363034817,0.724699120925461,0.23797294824859128
2022-01-20,20,0.4370167639497788,0.4677373170287101,0.11043002675539351,0.7293400508552799,0.24473939376974002
2022-01-21,20,0.37055066839171813,0.3880213838704628,0.03206288883784146,0.7008960810765817,0.25472667042503183
2022-01-24,20,0.39093583391488546,0.4155405935519585,0.05695899862445346,0.6964000233644574,0.2463888660944398
2022-01-25,20,0.38689283920001594,0.41249093047862484,0.06939481839063354,0.6837504803027636,0.2475542036838813
2022-01-26,20,0.387887567031574,0.41201404230851124,0.03710667820852497,0.6971498555838097,0.25196123267933757
2022-01-27,20,0.37591576731875437,0.3940686813687521,0.018369131104773687,0.6916300359632405,0.2538202650186736
2022-01-28,20,0.3732083247943786,0.3948394166495942,0.02975549104416354,0.6795142091640435,0.25004565991708994
2022-01-31,20,0.39222395962540596,0.42077651750869616,0.04683445965851204,0.7078673417121034,0.26063013297889454
2022-02-01,20,0.3979930245634803,0.42322315564957336,0.01068292833082367,0.7610083383143885,0.28878870396017253
2022-02-02,20,0.4027648266884021,0.43235021649564576,0.036601909649736614,0.7577306098383892,0.28599272838068107
2022-02-03,20,0.39893939044069604,0.4320643448632203,0.04087410886260672,0.7404452157923813,0.28191450925516653
2022-02-04,20,0.40040555129292266,0.438626402078712,0.0010429832882508376,0.7344880124916152,0.28247846427051637
2022-02-07,20,0.3963851471852151,0.4357977546982526,-0.006627605947756019,0.7392603064581285,0.2881771783654963
2022-02-08,20,0.40035519140855075,0.4384620909728876,-0.01122446986176871,0.7393368384531182,0.290781075904521
2022-02-09,20,0.41347991843508897,0.45213523806793643,-0.0057480988923718215,0.7559513995594264,0.29563015940503906
2022-02-10,20,0.43154252633414497,0.47921986894965407,0.028107162390026905,0.7740050216558417,0.2937606159238676
