asset_a,asset_b,corr_calm,corr_crisis,delta
CVX,RKLB,0.0067726526847908365,0.9319006722827518,0.9251280195979609
MTSI,UNH,0.04513825978944735,0.9688017771786451,0.9236635173891978
MO,MTSI,-0.05339526828377175,0.8701428796464992,0.9235381479302709
MU,PM,0.021273585334871985,0.9441182757611403,0.9228446904262683
DUK,REGN,0.03629098882581645,0.958235359718882,0.9219443708930655
HEI,JNJ,0.054261761009749485,0.9760623219988314,0.9218005609890819
MPC,SO,0.04174197101281155,0.9632190163408738,0.9214770453280623
DUK,HII,0.06394676476457674,0.9851430741805695,0.9211963094159927
SO,XBI,0.03637823590089068,0.9574505650496937,0.921072329148803
D,PLTR,-0.07197058068936626,0.8490440822707707,0.9210146629601369
ICL,XLU,0.03747239981413438,0.9572430026890154,0.919770602874881
MTSI,XOM,0.046220145107300596,0.9654503969219012,0.9192302518146006
LMT,RKLB,0.0018417348370636049,0.9198534731575784,0.9180117383205147
MTSI,NOC,0.04236311605118561,0.9601522751021137,0.9177891590509281
PM,STLD,0.042649314752133224,0.9598986474754155,0.9172493327232824
DG,LLY,0.03904438319497279,0.9558513426887577,0.9168069594937849
AEP,HII,0.070212376536276,0.9869212380207966,0.9167088614845206
COST,MPC,0.06413428930887295,0.9795983644102374,0.9154640751013644
RKLB,XOM,-0.011648347197257209,0.9037699782066853,0.9154183254039424
DUK,PSX,0.05368189006913231,0.9689408114010328,0.9152589213319006
CAT,CRWD,0.04467746466217057,0.9596604876890324,0.9149830230268619
NOC,WM,0.05315634670037847,0.9681003978197665,0.914944051119388
FANG,PLD,0.0521159534420972,0.9663531045219622,0.914237151079865
REGN,WM,0.0382794988973017,0.9524949265659577,0.914215427668656
DUK,UAN,-0.017717178108113022,0.89627875648077,0.9139959345888831
QQQ,SO,0.05125098214178388,0.9651412008827545,0.9138902187409705
AEP,CW,0.06800006518706095,0.9816401206642207,0.9136400554771598
CRWD,REGN,0.03893350667391588,0.9521935394168858,0.9132600327429699
PLTR,SPLV,0.020788314353612468,0.9337626024071216,0.9129742880535091
CRWD,JPM,0.0435835688201681,0.9559761200256387,0.9123925512054706
LLY,PSX,0.05663109283650627,0.9683357451101477,0.9117046522736415
RKLB,TRV,-0.0011826746220785819,0.9103098398310948,0.9114925144531734
MCD,REGN,0.06406514703271513,0.9751837348577738,0.9111185878250586
GOOGL,SO,0.04989217716952109,0.9608952332433067,0.9110030560737856
PEP,STLD,0.03095313391961743,0.9419545013218481,0.9110013674022307
